fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;sol;presMax;horaPresMax;presMin;horaPresMin;hrMedia;hrMax;horaHrMax;hrMin;horaHrMin
2025-01-30;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,8;0,0;7,1;23:59;16,5;15:04;99;4,4;11,4;Varias;9,7;1024,2;Varias;1014,3;02;66;90;Varias;47;14:57
2025-01-31;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,4;0,0;4,5;06:03;16,4;15:32;99;2,5;7,2;Varias;;1026,4;Varias;1023,6;04;68;93;Varias;43;13:35
2025-02-01;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,6;0,0;4,4;Varias;16,9;14:55;99;3,3;7,8;Varias;9,6;1025,5;00;1017,7;17;73;94;Varias;50;15:20
2025-02-02;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,6;0,5;6,2;03:59;17,1;14:28;23;1,7;6,1;16:10;2,7;1019,4;Varias;1015,8;23;83;98;Varias;64;14:37
2025-02-03;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,4;0,0;7,3;23:55;15,6;14:55;07;4,2;12,5;10:17;5,1;1021,1;Varias;1014,3;03;74;96;Varias;60;14:52
2025-02-04;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,3;0,0;4,9;06:43;17,7;16:00;05;1,7;6,1;10:21;9,9;1028,1;Varias;1021,0;00;72;98;Varias;42;16:57
2025-02-05;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,6;0,0;5,0;07:37;18,2;15:00;07;3,6;9,2;10:42;10,1;1030,0;Varias;1026,3;17;68;96;Varias;39;15:41
2025-02-06;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,4;0,0;4,2;07:28;18,6;16:03;03;1,9;6,1;09:43;;1027,1;00;1022,1;24;66;96;Varias;37;16:01
2025-02-07;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,8;2,5;4,1;07:41;17,6;15:00;23;3,9;12,5;16:46;7,4;1022,2;00;1016,1;16;77;98;Varias;53;15:35
2025-02-08;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,8;Ip;7,0;07:20;16,7;16:04;25;1,7;7,2;00:23;8,4;1023,0;Varias;1017,0;01;79;99;Varias;56;14:46
2025-02-09;5783;SEVILLA AEROPUERTO;SEVILLA;34;12,0;0,0;6,0;06:35;17,9;15:18;07;2,5;7,8;10:24;9,9;1023,5;Varias;1019,7;18;75;97;Varias;57;15:45
2025-02-10;5783;SEVILLA AEROPUERTO;SEVILLA;34;12,6;0,0;6,9;06:57;18,2;17:00;04;2,2;5,8;12:23;4,9;1020,0;00;1014,6;18;82;98;02:21;59;14:56
2025-02-11;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,5;0,3;7,4;02:35;19,6;14:04;22;5,3;15,3;15:03;4,5;1014,8;Varias;1010,7;15;69;97;Varias;43;12:30
2025-02-12;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,0;0,0;7,7;23:41;18,2;14:57;31;2,8;8,3;16:43;;1019,2;Varias;1014,6;00;69;98;Varias;45;16:38
2025-02-13;5783;SEVILLA AEROPUERTO;SEVILLA;34;12,5;0,0;5,8;04:42;19,2;16:24;11;1,4;5,8;09:33;10,0;1020,5;Varias;1016,7;16;70;97;Varias;44;16:26
2025-02-14;5783;SEVILLA AEROPUERTO;SEVILLA;34;12,6;0,0;5,3;06:28;19,9;15:07;09;1,4;5,8;13:19;10,2;1017,4;00;1012,7;18;67;97;Varias;42;14:57
2025-02-15;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,2;0,0;5,6;07:13;20,7;15:53;03;2,2;5,0;09:13;4,3;1013,2;00;1006,7;22;72;99;Varias;40;15:52
